domain,family,semantic_dist,clip_embed_dist,spectral_dist,frechet_dist
EuroSAT,natural,0.776,0.3262493312358856,0.14941651841701176,0.25292691571899784
GTSRB,digits,0.7170000000000001,0.4087589681148529,0.11780628170407355,0.3259078105580097
FGVCAircraft,natural,0.845,0.7208272218704224,0.02863993170370096,0.7597678928460336
SVHN,digits,0.877,0.3606729209423065,0.12260006782543156,0.2932358685961509
DTD,natural,0.598,0.40316635370254517,0.12554439297506,0.3146759597411023
MNIST,digits,0.645,0.39789026975631714,0.10821963491060765,0.34174256448330137
OxfordPets,natural,0.22899999999999998,0.5871495604515076,0.13719709896046497,0.5296807711053415
Food101,natural,0.247,0.5987260341644287,0.13382599523359792,0.5764249167941426
pathmnist,medical,0.891,0.36726582050323486,0.16530097512109176,0.2937890377630755
pneumoniamnist,medical,0.42200000000000004,0.342340350151062,0.06491869406110977,0.279446775737309
bloodmnist,medical,0.855,0.4168083667755127,0.12084503748655417,0.33356080034002433
dermamnist,medical,0.889,0.37640923261642456,0.12075030394439783,0.2929915517119084
octmnist,medical,0.745,0.39333921670913696,0.14034031622774865,0.32732042162044445
retinamnist,medical,0.5489999999999999,0.4093436598777771,0.06735607734927503,0.32545249985579805
breastmnist,medical,0.6391941391941391,0.3611537516117096,0.015369550147656796,0.2822750349893637
organcmnist,medical,0.947,0.3375170826911926,0.010902916876614521,0.2560131292207337
