planet,published,recovered,recon_residual,retained
Kepler-719 b,0.08,0.081,0.00033,True
Kepler-734 b,0.042,0.06,0.00029,True
Kepler-485 b,0.121,0.076,0.00049,False
Kepler-548 b,0.122,0.07,0.00031,True
Kepler-550 b,0.049,0.06,0.00033,True
Kepler-170 b,0.03,0.052,0.00032,True
Kepler-228 d,0.04,0.055,0.00035,True
Kepler-1624 b,0.109,0.108,0.00059,False
Kepler-855 b,0.074,0.081,0.00035,True
Kepler-546 b,0.056,0.069,0.00027,True
Kepler-244 b,0.031,0.054,0.00031,True
Kepler-12 b,0.119,0.046,0.00052,False
